feature,psi,ks,drift
Client_Income_Type_Commercial,0.0,0.227842517746502,False
Client_Income_Type_Govt Job,0.00024100345784920708,0.0038802278792485767,False
Client_Income_Type_Maternity leave,0.0,2.0516187271724107e-05,False
Client_Income_Type_Retired,2.8304698197800267e-05,0.0020136925700552366,False
Client_Income_Type_Service,1.6835028516369086e-05,0.0020515177119749817,False
Client_Income_Type_Student,1.690948626435965e-05,3.0775964494300645e-05,False
Client_Income_Type_Unemployed,0.00029267412232098807,0.0001436065765556549,False
Client_Income_Type_Unknown,2.4441453354811412e-06,0.00026794787074202464,False
Accompany_Client_Alone,4.205374193925728e-05,0.0025931864721817077,False
Accompany_Client_Group,4.340079757301243e-06,6.151152290834183e-05,False
Accompany_Client_Kids,7.904861412665995e-05,0.000913389546676302,False
Accompany_Client_Others,9.101978844257118e-05,0.0008414684073310141,False
Accompany_Client_Partner,1.5987145268713977e-05,0.0007575533964835346,False
Accompany_Client_Relative,1.1035109734157786e-05,0.0011131403718072086,False
Accompany_Client_Unknown,1.5960137387396584e-05,0.00047244472672136606,False
Client_Education_Graduation dropout,4.8836934145375383e-05,0.0012322642308750797,False
Client_Education_Junior secondary,2.2752356099052405e-07,5.177870831640785e-05,False
Client_Education_Post Grad,9.969507216057136e-05,0.0002461639427009388,False
Client_Education_Secondary,7.59202644219776e-05,0.004039037243516619,False
Client_Education_Unknown,4.488054212621425e-06,0.00036024882683804993,False
Client_Housing_Type_Home,1.2277793742649095e-05,0.0012149535926402888,False
Client_Housing_Type_Municipal,4.56383676161611e-06,0.00039122513814726645,False
Client_Housing_Type_Office,6.747978285639996e-06,0.00023559101835590734,False
Client_Housing_Type_Rental,1.699818212834982e-05,0.0005020186103268376,False
Client_Housing_Type_Shared,6.5279527722638e-06,0.0001540178765792044,False
Client_Housing_Type_Unknown,5.274806225626605e-07,0.00012433455983973385,False
Score_Source_3,0.45562031266469344,0.005832427445848901,False
Score_Source_3_missing,5.8629224052120175e-06,0.0010040675252137587,False
Score_Source_2,0.00034768069716053157,0.007649889570519264,False
Client_Gender_Male,2.8957058961474865e-06,0.0008147162149997333,False
Client_Gender_Unknown,3.542679820603463e-07,8.287455427968826e-05,False
Client_Gender_XNA,0.0,3.077428090758616e-05,False
Client_Marital_Status_M,9.419138323039286e-05,0.004378700856029039,False
Client_Marital_Status_S,1.8130170819734044e-05,0.0014917722815945833,False
Client_Marital_Status_Unknown,5.5751048462649985e-05,0.0012502769247548784,False
Client_Marital_Status_W,6.895122896976027e-06,0.0005723891663406144,False
Credit_Bureau_missing,5.307181634947748e-06,0.0008268632928896125,False
Score_Source_1,0.0005844739952432776,0.0052365455109878445,False
Score_Source_1_missing,9.948778232171855e-05,0.004946901258712055,False
Car_Owned,0.00012914963828156005,0.005361410400631428,False
Years_Employed,0.00019884177060947836,0.006945941573898939,False
Years_Employed_missing,0.00010744136720808191,0.0017553108388239647,False
Age_Years,0.0004092955104484413,0.003337357038152966,False
Loan_Contract_Type,6.697457359413308e-06,0.0007450830699513578,False
